knapPI_4_1000_100000_490
n 1000
c 50734645
z 44181809
time 1.8
1,59565,69565,1
2,70084,80084,1
3,78139,88139,1
4,65807,75807,1
5,6997,16997,1
6,7895,17895,1
7,33378,43378,1
8,41388,51388,1
9,7660,17660,1
10,3679,13679,1
11,83390,93390,1
12,28650,38650,1
13,55221,65221,1
14,60564,70564,1
15,1977,11977,1
16,27150,37150,1
17,61755,71755,1
18,37891,47891,1
19,50626,60626,1
20,47949,57949,1
21,52626,62626,1
22,68273,78273,1
23,64009,74009,1
24,12879,22879,1
25,53354,63354,1
26,83465,93465,1
27,93960,103960,1
28,81165,91165,1
29,73752,83752,1
30,35367,45367,1
31,53903,63903,1
32,53866,63866,1
33,29902,39902,1
34,16444,26444,1
35,21619,31619,1
36,64695,74695,1
37,88743,98743,1
38,87889,97889,1
39,18982,28982,1
40,74226,84226,1
41,72876,82876,1
42,89090,99090,1
43,926,10926,1
44,43675,53675,1
45,3918,13918,1
46,15936,25936,1
47,64725,74725,1
48,71436,81436,1
49,67848,77848,1
50,30599,40599,1
51,7129,17129,1
52,44104,54104,1
53,97936,107936,1
54,65439,75439,1
55,48143,58143,1
56,60142,70142,1
57,8209,18209,1
58,31411,41411,1
59,57104,67104,1
60,59070,69070,1
61,85699,95699,1
62,29297,39297,1
63,77200,87200,1
64,44749,54749,1
65,44644,54644,1
66,54281,64281,1
67,23704,33704,1
68,190,10190,1
69,97260,107260,1
70,79368,89368,1
71,15305,25305,1
72,36820,46820,1
73,27744,37744,1
74,82770,92770,1
75,90713,100713,1
76,1625,11625,1
77,43115,53115,1
78,74704,84704,1
79,87196,97196,1
80,78759,88759,1
81,24240,34240,1
82,8991,18991,1
83,2241,12241,1
84,13227,23227,1
85,26008,36008,1
86,92462,102462,1
87,75538,85538,1
88,60053,70053,1
89,28931,38931,1
90,43515,53515,1
91,81931,91931,1
92,46258,56258,1
93,86946,96946,1
94,87685,97685,1
95,43702,53702,1
96,7616,17616,1
97,12701,22701,1
98,20406,30406,1
99,58146,68146,1
100,20995,30995,1
101,28966,38966,1
102,44715,54715,1
103,81274,91274,1
104,36467,46467,1
105,38079,48079,1
106,94410,104410,1
107,79167,89167,1
108,44516,54516,1
109,67461,77461,1
110,49595,59595,1
111,85748,95748,1
112,40115,50115,1
113,42519,52519,1
114,56371,66371,1
115,42207,52207,1
116,14877,24877,1
117,47201,57201,1
118,24797,34797,1
119,77595,87595,1
120,1531,11531,1
121,8819,18819,1
122,49541,59541,1
123,96579,106579,1
124,28727,38727,1
125,10849,20849,1
126,4613,14613,1
127,11173,21173,1
128,99052,109052,1
129,9985,19985,1
130,20128,30128,1
131,40577,50577,1
132,63879,73879,1
133,41521,51521,1
134,75103,85103,1
135,55327,65327,1
136,31855,41855,1
137,46691,56691,1
138,78150,88150,1
139,52908,62908,1
140,46134,56134,1
141,79604,89604,1
142,10759,20759,1
143,74741,84741,1
144,70226,80226,1
145,68721,78721,1
146,11959,21959,1
147,31011,41011,1
148,97175,107175,1
149,17415,27415,1
150,59403,69403,1
151,20633,30633,1
152,134,10134,1
153,47371,57371,1
154,54464,64464,1
155,25560,35560,1
156,64517,74517,1
157,35895,45895,1
158,12473,22473,1
159,87794,97794,1
160,86031,96031,1
161,71584,81584,1
162,9888,19888,1
163,73343,83343,1
164,83181,93181,1
165,54810,64810,1
166,85341,95341,1
167,27779,37779,1
168,252,10252,1
169,23221,33221,1
170,52139,62139,1
171,87210,97210,1
172,38058,48058,1
173,51076,61076,1
174,62271,72271,1
175,99901,109901,1
176,53866,63866,1
177,84895,94895,1
178,11921,21921,1
179,36544,46544,1
180,15861,25861,1
181,99045,109045,1
182,43896,53896,1
183,36885,46885,1
184,4721,14721,1
185,98145,108145,1
186,2983,12983,1
187,95109,105109,1
188,24063,34063,1
189,91577,101577,1
190,48975,58975,1
191,45058,55058,1
192,78496,88496,1
193,12858,22858,1
194,14553,24553,1
195,52015,62015,1
196,12147,22147,1
197,53883,63883,1
198,63481,73481,1
199,39335,49335,1
200,77204,87204,1
201,99953,109953,1
202,57488,67488,1
203,99940,109940,1
204,59576,69576,1
205,37291,47291,1
206,21725,31725,1
207,98941,108941,1
208,10411,20411,1
209,62886,72886,1
210,41971,51971,1
211,92543,102543,1
212,79675,89675,1
213,89464,99464,1
214,83610,93610,1
215,92022,102022,1
216,76636,86636,1
217,61083,71083,1
218,47587,57587,1
219,58307,68307,1
220,10710,20710,1
221,90677,100677,1
222,94267,104267,1
223,17070,27070,1
224,13490,23490,1
225,13739,23739,1
226,48868,58868,1
227,28414,38414,1
228,67437,77437,1
229,2208,12208,1
230,24268,34268,1
231,622,10622,1
232,39784,49784,1
233,89173,99173,1
234,52592,62592,1
235,69131,79131,1
236,68230,78230,1
237,94262,104262,1
238,28330,38330,1
239,75657,85657,1
240,46638,56638,1
241,74630,84630,1
242,66478,76478,1
243,97907,107907,1
244,2310,12310,1
245,63573,73573,1
246,5387,15387,1
247,47514,57514,1
248,61708,71708,1
249,10204,20204,1
250,80530,90530,1
251,3705,13705,1
252,1923,11923,1
253,67010,77010,1
254,25515,35515,1
255,72278,82278,1
256,59023,69023,1
257,82425,92425,1
258,5798,15798,1
259,14550,24550,1
260,35969,45969,1
261,25539,35539,1
262,60177,70177,1
263,99692,109692,1
264,94978,104978,1
265,58647,68647,1
266,78431,88431,1
267,84537,94537,1
268,18257,28257,1
269,84988,94988,1
270,57629,67629,1
271,97532,107532,1
272,87893,97893,1
273,80373,90373,1
274,97560,107560,1
275,17827,27827,1
276,37701,47701,1
277,12142,22142,1
278,32036,42036,1
279,10251,20251,1
280,25122,35122,1
281,63309,73309,1
282,60628,70628,1
283,5739,15739,1
284,7420,17420,1
285,29841,39841,1
286,99592,109592,1
287,29551,39551,1
288,95745,105745,1
289,67461,77461,1
290,86386,96386,1
291,8657,18657,1
292,15541,25541,1
293,49686,59686,1
294,96283,106283,1
295,47502,57502,1
296,80676,90676,1
297,27384,37384,1
298,3118,13118,1
299,36721,46721,1
300,4957,14957,1
301,21987,31987,1
302,98897,108897,1
303,56450,66450,1
304,27983,37983,1
305,2609,12609,1
306,97838,107838,1
307,95251,105251,1
308,74832,84832,1
309,13173,23173,1
310,23323,33323,1
311,921,10921,1
312,57341,67341,1
313,94044,104044,1
314,70747,80747,1
315,59948,69948,1
316,89480,99480,1
317,46307,56307,1
318,57815,67815,1
319,76119,86119,1
320,35609,45609,1
321,52810,62810,1
322,59356,69356,1
323,18056,28056,1
324,40575,50575,1
325,7395,17395,1
326,33544,43544,1
327,97273,107273,1
328,18958,28958,1
329,48194,58194,1
330,19253,29253,1
331,39278,49278,1
332,48086,58086,1
333,11853,21853,1
334,92641,102641,1
335,13815,23815,1
336,8686,18686,1
337,22648,32648,1
338,47621,57621,1
339,35249,45249,1
340,17781,27781,1
341,32510,42510,1
342,4841,14841,1
343,31678,41678,1
344,23111,33111,1
345,31397,41397,1
346,12636,22636,1
347,89360,99360,1
348,75290,85290,1
349,36599,46599,1
350,76620,86620,1
351,70296,80296,1
352,49204,59204,1
353,46163,56163,1
354,31557,41557,1
355,53414,63414,1
356,74129,84129,1
357,61169,71169,1
358,64874,74874,1
359,54774,64774,1
360,41315,51315,1
361,23234,33234,1
362,43678,53678,1
363,54287,64287,1
364,15266,25266,1
365,61526,71526,1
366,76783,86783,1
367,58928,68928,1
368,2858,12858,1
369,35280,45280,1
370,66669,76669,1
371,91758,101758,1
372,4077,14077,1
373,10154,20154,1
374,43755,53755,1
