,time
dataset/knapPI_3_1000_1000_529.csv,625.7
dataset/knapPI_4_1000_1000000_10.csv,5016.3
dataset/knapPI_2_1000_100000_488.csv,50000.0
dataset/knapPI_5_1000_100000_465.csv,50000.0
dataset/knapPI_9_1000_1000000_252.csv,50000.0
dataset/knapPI_6_1000_10000_546.csv,50000.0
dataset/knapPI_4_1000_1000000_443.csv,50000.0
dataset/knapPI_4_1000_100000_415.csv,50000.0
dataset/knapPI_4_1000_1000_216.csv,314.9
dataset/knapPI_3_1000_1000_73.csv,105.5
dataset/knapPI_6_1000_1000_544.csv,785.1
dataset/knapPI_4_1000_10000_329.csv,50000.0
dataset/knapPI_5_1000_1000_86.csv,84.9
dataset/knapPI_9_1000_1000000_302.csv,50000.0
dataset/knapPI_6_1000_10000_297.csv,3596.3
dataset/knapPI_3_1000_1000_234.csv,216.8
dataset/knapPI_1_1000_1000_412.csv,275.6
dataset/knapPI_1_1000_100000_112.csv,50000.0
dataset/knapPI_3_1000_10000_291.csv,4725.6
dataset/knapPI_1_1000_1000_299.csv,580.3
dataset/knapPI_4_1000_1000_13.csv,19.9
dataset/knapPI_1_1000_1000000_370.csv,50000.0
dataset/knapPI_5_1000_10000_1.csv,3.8
dataset/knapPI_4_1000_10000000_49.csv,50000.0
dataset/knapPI_6_1000_10000000_197.csv,50000.0
dataset/knapPI_6_1000_1000_511.csv,540.3
dataset/knapPI_5_1000_1000000_197.csv,50000.0
dataset/knapPI_5_1000_100000_71.csv,50000.0
dataset/knapPI_6_1000_10000_308.csv,5004.1
dataset/knapPI_3_1000_1000_563.csv,420.1
dataset/knapPI_3_1000_1000000_481.csv,50000.0
dataset/knapPI_4_1000_100000_561.csv,50000.0
dataset/knapPI_4_1000_10000000_127.csv,50000.0
dataset/knapPI_6_1000_1000000_309.csv,50000.0
dataset/knapPI_5_1000_1000_78.csv,91.9
dataset/knapPI_9_1000_100000_169.csv,50000.0
dataset/knapPI_6_1000_10000000_358.csv,50000.0
dataset/knapPI_5_1000_1000000_176.csv,50000.0
dataset/knapPI_2_1000_10000000_308.csv,50000.0
dataset/knapPI_4_1000_1000_414.csv,481.0
dataset/knapPI_2_1000_1000_225.csv,326.8
dataset/knapPI_6_1000_10000_66.csv,599.0
dataset/knapPI_1_1000_1000_335.csv,331.5
dataset/knapPI_1_1000_1000_227.csv,279.3
dataset/knapPI_1_1000_10000_558.csv,50000.0
dataset/knapPI_1_1000_10000_278.csv,50000.0
dataset/knapPI_9_1000_10000000_525.csv,50000.0
dataset/knapPI_1_1000_10000_460.csv,50000.0
dataset/knapPI_2_1000_100000_380.csv,50000.0
dataset/knapPI_3_1000_10000_349.csv,50000.0
dataset/knapPI_2_1000_10000000_509.csv,50000.0
dataset/knapPI_5_1000_1000_265.csv,205.6
dataset/knapPI_5_1000_10000000_510.csv,50000.0
dataset/knapPI_5_1000_10000_480.csv,50000.0
